엘지전자,1786,3540,2028,NNP,회사,F,엘지전자,Compound,*,*,엘지/NNG/*+전자/NNG/*
LG전자,1786,3540,2028,NNP,회사,F,LG전자,Compound,*,*,LG/NNG/*+전자/NNG/*
